ID	TITLE	TYPE	CREATEDBY	CREATEDDATE	MODIFIEDDATE	SHORTDESCRIPTION	MOREINFORMATION	RELATEDLINKS	TAGS	PRIORITY	COST	HYPOTHESES	SUCCESSFULIF	APPROACH	CONTRIBUTESTO	STARTDATE	ENDDATE	VACANCIES
12	Paypal Integration	Initiative	Bill	10-Jan-2020	18-Jan-2020	Test if PayPal integration will improve our overseas sales	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	"http:www.test1.com, http:www.test2.com"	"THIRDPARTY, AUTOMATION, WEBSITE, OVERSEAS, EXPANSION, PAYPAL"		M	This is a short description of the first hypothesis we will test.  This is a short description of the second hypothesis we will test.	This is a short description of what will constitute success.	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	5 MI	01-Mar-21		"Designer F 01-mar-21 08-mar-21 E V,Developer F 01-mar-21 10-apr-21 E 01-mar-21 15-mar-21,Developer F 01-mar-21 10-apr-21 E F"
13	Improve Website UX	Initiative	Jill	11-Jan-2020	20-Jan-2020	Test UX improvements against overseas sales improvements	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	"http:www.test1.com, http:www.test2.com"	"OVERSEAS, EXPANSION, WEBSITE, UX"		C	This is a short description of the first hypothesis we will test.  This is a short description of the second hypothesis we will test.	This is a short description of what will constitute success.	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	5 MI	01-Mar-21		"Designer F 01-mar-21 08-mar-21 E V,Developer F 01-mar-21 10-apr-21 E 01-mar-21 15-mar-21,Developer F 01-mar-21 10-apr-21 E 01-mar-21 15-mar-21,Researcher F 01-mar-21 08-apr-21 E F,Marketing F 01-mar-21 08-apr-21 E F"
14	Overseas Marketing	Initiative	Ezzie	05-Jan-2020	23-Jan-2020	Test if overseas TV marketting improves overseas sales	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	"http:www.test1.com, http:www.test2.com"	"OVERSEAS, EXPANSION, TV, MARKETING"		E	This is a short description of the first hypothesis we will test.  This is a short description of the second hypothesis we will test.	This is a short description of what will constitute success.	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	5 MA	01-Apr-21	01-Jun-21	"Designer M A D V,Marketing M A D V"
15	Shop in Washington	Initiative	Jill	09-Jan-2020	15-Jan-2020	Test sales likelihood and possibilities to open a shop in Washington	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	"http:www.test1.com, http:www.test2.com"	"OVERSEAS, EXPANSION, USA, WASHINGTON"		V	This is a short description of the first hypothesis we will test.  This is a short description of the second hypothesis we will test.	This is a short description of what will constitute success.	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	4 MA	01-Jun-21	01-Jul-21	"PM F 01-jun-21 01-jul-21 E V,Logistics F 24-Jun-21 TBD E F"
16	Shop in NYC	Initiative	Ezzie	10-Jan-2020	18-Jan-2020	Test sales likelihood and possibilities to open a shop in New York	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	"http:www.test1.com, http:www.test2.com"	"OVERSEAS, EXPANSION"		V	This is a short description of the first hypothesis we will test.  This is a short description of the second hypothesis we will test.	This is a short description of what will constitute success.	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	4 MA		01-Aug-21	"PM F A E V,Logistics F 30-jul-21 01-aug-21 E F"
17	Shop in LA	Initiative	Ernie	11-Jan-2020	20-Jan-2020	Test sales likelihood and possibilities to open a shop in LA	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	"http:www.test1.com, http:www.test2.com"	"OVERSEAS, EXPANSION"		V	This is a short description of the first hypothesis we will test.  This is a short description of the second hypothesis we will test.	This is a short description of what will constitute success.	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	4 MA	01-Sep-21	01-Oct-21	"PM M 01-sep-21 01-oct-21 D 01-sep-21 14-sep-21,Logistics F 01-sep-21 01-oct-21 E V"
18	Research US Cities	Initiative	Jill	05-Jan-2020	23-Jan-2020	Test other USA citiies against costs/overseas sales potential	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	"http:www.test1.com, http:www.test2.com"	"OVERSEAS, EXPANSION"		C	This is a short description of the first hypothesis we will test.  This is a short description of the second hypothesis we will test.	This is a short description of what will constitute success.	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	4 DR	01-Oct-21	01-Dec-21	"Researcher F 01-oct-21 01-dec-21 E V,Marketing F 01-oct-21 01-dec-21 E V,PM F 01-oct-21 01-dec-21 E V,Logistics F 01-oct-21 01-dec-21 E V"
19	Shop in London	Initiative	Ernie	09-Jan-2020	15-Jan-2020	Test sales likelihood and possibilities to open a shop in London	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	"http:www.test1.com, http:www.test2.com"	"OVERSEAS, EXPANSION"		V	This is a short description of the first hypothesis we will test.  This is a short description of the second hypothesis we will test.	This is a short description of what will constitute success.	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	4 MA	01-Nov-21	01-Feb-22	"PM F 01-nov-21 01-feb-22 E 01-nov-21 01-dec-21 21-jan-22 01-feb-22 ,Logistics F 01-nov-21 01-feb-22 E V"
20	Shop in Birmingham	Initiative	Adrian	10-Jan-2020	18-Jan-2020	Test sales likelihood and possibilities to open a shop in Birmingham	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	"http:www.test1.com, http:www.test2.com"	"OVERSEAS, EXPANSION"		V	This is a short description of the first hypothesis we will test.  This is a short description of the second hypothesis we will test.	This is a short description of what will constitute success.	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	4 MI	01-Dec-21	01-Apr-22	"PM M 01-dec-21 01-apr-22 E F,Logistics M 01-dec-21 01-apr-22 E F"
21	Shop in Newcaste	Initiative	Kate	11-Jan-2020	20-Jan-2020	Test sales likelihood and possibilities to open a shop in Newcastle	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	"http:www.test1.com, http:www.test2.com"	"OVERSEAS, EXPANSION"		V	This is a short description of the first hypothesis we will test.  This is a short description of the second hypothesis we will test.	This is a short description of what will constitute success.	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	4 MI	01-Apr-21	01-Jun-21	"PM F 01-apr-21 01-jun-21 E V,Logistics F 01-apr-21 01-jun-21 E V"
22	Research UK Cities	Initiative	Bill	05-Jan-2020	23-Jan-2020	Test other UK citiies against costs/overseas sales potential	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	"http:www.test1.com, http:www.test2.com"	"OVERSEAS, EXPANSION"		C	This is a short description of the first hypothesis we will test.  This is a short description of the second hypothesis we will test.	This is a short description of what will constitute success.	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Dignissim sodales ut eu sem integer vitae justo eget magna. Purus viverra accumsan in nisl. Condimentum vitae sapien pellentesque habitant morbi tristique senectus. Aenean euismod elementum nisi quis eleifend quam adipiscing vitae proin. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Egestas egestas fringilla phasellus faucibus scelerisque eleifend donec pretium vulputate. Massa tempor nec feugiat nisl pretium fusce id velit ut. Sed arcu non odio euismod. Nunc faucibus a pellentesque sit amet porttitor eget dolor morbi."	4 DR	01-Jun-21	01-Jul-21	"Researcher F 01-jun-21 10-jun-21 E F,Marketing C 01-jun-21 01-jul-21 E V,PM F 01-01-jun-21 01-jul-21 E F,Logistics F 01-jun-21 01-jul-21 E V"
